index,academic_year_first_registration,birth_date,nacionality,num_registrations,num_registrations_course_conferent_degree,working_student,age,total_ects,has_scholarship,moved_student,registrations,repetitions,attendance_T,attendance_TP,attendance_PL,TP_time,PL_time,frequency_grade_result,frequency_grade,normal_grade_result,normal_grade,recovery_grade_result,recovery_grade,valid_final_grade,years_since_registration,dropout
799,2012/2013,1994-02-06 06:00:00,PRT,1,7,0,27,84.0,False,True,1,2,0.2592592592592592,1.0,0.5,15:00:00,17:00:00,AP,12.0,F,0.0,F,0.0,1,3,False
807,2012/2013,1993-08-07 05:00:00,PRT,3,9,0,27,73.0,False,True,2,2,0.5555555555555556,0.6363636363636364,0.5,15:30:00,17:00:00,R,5.0,F,0.0,R,6.0,0,3,False
810,2012/2013,1994-10-29 06:00:00,PRT,1,7,0,26,84.0,False,True,1,2,0.1111111111111111,0.8,0.6666666666666666,15:00:00,15:00:00,AP,10.0,F,0.0,F,0.0,1,3,False
814,2012/2013,1994-09-25 05:00:00,PRT,3,9,0,26,36.0,False,True,2,1,0.1111111111111111,0.6363636363636364,0.6666666666666666,20:00:00,15:00:00,AP,13.0,F,0.0,F,0.0,1,3,False
815,2012/2013,1994-06-20 05:00:00,PRT,1,6,0,27,84.0,False,True,1,2,0.074074074074074,0.7272727272727273,0.6666666666666666,15:30:00,23:30:00,AP,11.0,F,0.0,F,0.0,1,3,False
816,2012/2013,1994-12-13 06:00:00,PRT,2,6,0,26,84.0,False,True,1,2,0.074074074074074,0.8181818181818182,0.5,15:30:00,17:00:00,AP,10.0,F,0.0,F,0.0,1,3,False
819,2012/2013,1994-05-18 05:00:00,PRT,4,8,0,27,79.0,False,True,1,0,0.1111111111111111,0.5454545454545454,0.5,20:00:00,22:00:00,AP,10.0,F,0.0,F,0.0,1,3,False
822,2012/2013,1994-07-04 05:00:00,PRT,3,9,0,27,78.0,False,True,1,1,0.037037037037037,0.7272727272727273,0.6666666666666666,20:00:00,21:30:00,R,6.0,F,0.0,F,0.0,0,3,True
824,2012/2013,1995-01-23 06:00:00,PRT,1,7,0,26,79.0,False,True,1,1,0.1481481481481481,0.1,0.6666666666666666,15:00:00,15:00:00,AP,10.0,F,0.0,AP,10.0,1,3,False
832,2012/2013,1994-06-26 05:00:00,PRT,1,9,0,27,75.0,False,False,1,1,0.8518518518518519,1.0,0.6666666666666666,15:00:00,23:30:00,AP,13.0,F,0.0,F,0.0,1,3,False
